"","SRR9137553_GSM3823667_CON_1_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137554_GSM3823668_CON_2_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137555_GSM3823669_CON_3_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137556_GSM3823670_CON_4_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137557_GSM3823671_CON_5_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137558_GSM3823672_CON_6_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137559_GSM3823673_CON_7_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137560_GSM3823674_CON_8_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137565_GSM3823679_RIL_1_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137566_GSM3823680_RIL_2_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137567_GSM3823681_RIL_3_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137568_GSM3823682_RIL_4_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM"
"ENSMUSG00000088691",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099884",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100304",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101453",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102105",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099943",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00002075119",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097648",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101687",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100515",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033021",16,25,49,38,50,30,38,28,31,21,42,49
"ENSMUSG00000055214",0,0,0,0,0,0,1,0,0,1,0,0
"ENSMUSG00000078184",21,33,89,43,39,38,33,41,25,19,30,25
"ENSMUSG00000104363",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103277",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104157",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000102446",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104248",0,0,0,0,0,1,0,1,0,0,0,0
"ENSMUSG00000104021",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103471",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087875",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000033007",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102605",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070695",0,0,0,0,4,0,0,0,0,0,0,0
"ENSMUSG00000025909",0,7,4,3,0,5,0,3,4,0,12,6
"ENSMUSG00002076179",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102033",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000102647",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086235",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102253",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002074990",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094429",0,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000101154",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103884",0,1,0,0,0,0,0,0,3,0,0,1
"ENSMUSG00000065865",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084353",5,6,23,16,11,9,13,14,7,5,11,4
"ENSMUSG00002076328",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103933",5,2,12,4,5,3,2,7,2,0,6,8
"ENSMUSG00000101573",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002075967",16,16,53,49,30,27,45,38,30,37,35,33
"ENSMUSG00000086195",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000107979",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000101373",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104504",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099615",0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000066693",1,0,1,2,0,0,1,1,1,1,0,0
"ENSMUSG00000102316",0,0,1,0,0,0,0,0,0,0,1,0
"ENSMUSG00000100265",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000103819",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100527",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102871",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000099571",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000101571",0,0,0,0,1,0,0,1,0,0,0,0
"ENSMUSG00000104428",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101303",0,0,0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000102272",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100305",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065625",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099534",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103411",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100886",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101415",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000061024",89,153,308,186,158,112,181,138,107,93,131,114
"ENSMUSG00000100617",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100703",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100177",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101363",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101590",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102030",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099870",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000023150",113,158,322,286,229,158,204,172,128,97,215,149
"ENSMUSG00000026374",221,474,828,636,597,380,534,472,444,284,531,320
"ENSMUSG00000026377",125,177,446,255,221,207,310,188,152,107,150,166
"ENSMUSG00000099936",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025911",118,132,232,226,243,193,310,157,212,174,196,187
"ENSMUSG00000052748",65,101,274,115,142,81,114,124,58,72,92,61
"ENSMUSG00000079671",0,8,4,5,2,3,4,5,5,3,5,1
"ENSMUSG00000081441",0,0,2,0,2,0,0,0,0,0,0,0
"ENSMUSG00000067879",0,0,0,0,1,0,0,1,0,1,0,0
"ENSMUSG00000099827",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057335",90,82,298,136,142,79,113,112,43,58,101,73
"ENSMUSG00000103634",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000104154",3,2,3,1,4,0,1,1,1,1,2,1
"ENSMUSG00000103435",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065573",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076271",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000053286",12,24,45,17,25,10,19,21,23,13,23,18
"ENSMUSG00000106406",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103928",3,2,7,4,4,0,4,2,4,4,0,4
"ENSMUSG00000026484",78,96,168,130,121,78,128,78,93,82,112,74
"ENSMUSG00000103238",0,1,7,0,3,0,0,3,4,3,4,0
"ENSMUSG00000100981",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100551",20,39,91,54,63,28,53,47,41,17,47,34
"ENSMUSG00000100357",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025912",25,6,25,15,10,3,9,4,3,4,5,12
"ENSMUSG00000045210",95,145,245,172,176,111,154,173,124,80,129,124
"ENSMUSG00000041763",173,170,477,287,234,189,251,252,143,113,204,201
"ENSMUSG00000097893",1,1,2,1,1,2,0,3,1,1,1,5
"ENSMUSG00000026504",1,10,27,16,12,2,12,8,11,9,18,16
"ENSMUSG00000103367",2,0,2,0,0,0,0,0,0,0,2,0
"ENSMUSG00000103584",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00002076339",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102475",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000047343",0,0,0,0,0,0,0,2,2,0,1,0
"ENSMUSG00000102211",0,1,3,1,0,1,0,1,0,0,1,1
"ENSMUSG00000087082",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000090106",0,0,2,0,0,0,0,1,1,0,0,1
"ENSMUSG00000103251",3,0,5,2,1,0,0,0,1,1,0,6
"ENSMUSG00000091844",64,27,121,77,34,25,20,39,13,9,33,10
"ENSMUSG00000026483",4,10,4,3,8,3,11,9,10,13,15,12
"ENSMUSG00000100594",9,5,9,10,20,3,20,7,12,8,12,10
"ENSMUSG00000082528",0,0,0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000082012",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099996",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101763",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100827",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100553",0,1,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000098611",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100534",0,0,0,0,0,0,0,0,1,0,0,1
"ENSMUSG00000102904",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00002076350",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000019699",4,4,3,3,1,4,1,3,8,3,2,1
"ENSMUSG00000104391",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102133",0,1,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000102749",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000103163",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103646",0,0,1,0,0,0,0,0,0,1,0,0
"ENSMUSG00000102427",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103633",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097892",0,0,0,0,1,1,0,0,0,0,0,0
"ENSMUSG00000063659",38,57,78,81,68,38,107,53,78,46,74,79
"ENSMUSG00000102432",2,2,1,0,4,1,4,0,0,0,1,0
"ENSMUSG00000103043",0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000102885",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026049",52,123,311,156,152,105,171,116,77,48,109,66
"ENSMUSG00000103767",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000101746",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000043019",75,89,198,93,112,87,108,122,57,67,81,59
"ENSMUSG00000101104",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000015962",0,0,2,0,3,2,4,2,0,0,0,0
"ENSMUSG00000032666",13,27,38,36,23,22,8,33,5,13,21,16
"ENSMUSG00000084557",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100685",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102090",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103744",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000015961",156,155,337,248,230,164,239,194,173,121,212,150
"ENSMUSG00000089657",3,2,5,2,1,2,0,0,3,4,1,1
"ENSMUSG00000102483",0,0,0,0,1,0,0,1,0,1,0,0
"ENSMUSG00000014980",36,31,80,50,65,30,55,35,26,23,33,31
"ENSMUSG00000026235",1,1,2,1,1,2,1,3,1,0,2,0
"ENSMUSG00000099141",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032649",2,2,5,0,7,3,6,4,11,4,1,3
"ENSMUSG00000101849",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101506",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065215",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102052",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026047",8,14,17,28,40,8,20,24,24,14,22,19
"ENSMUSG00000080878",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091476",1,1,0,2,0,0,0,0,0,1,0,0
"ENSMUSG00000104097",1,0,5,4,1,6,0,0,0,0,2,2
"ENSMUSG00000119789",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000102493",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000004872",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000118426",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041684",19,30,83,57,48,27,38,42,32,20,46,41
"ENSMUSG00000032908",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000099561",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102945",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000026502",146,147,353,238,210,108,183,179,188,64,162,117
"ENSMUSG00000103958",3,0,0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000070489",0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000104126",12,6,30,14,9,8,11,6,3,3,3,11
"ENSMUSG00000086350",1,2,2,3,8,2,2,3,2,3,1,0
"ENSMUSG00000026500",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026048",31,22,82,49,58,27,68,57,19,21,34,37
"ENSMUSG00000046828",0,0,0,1,1,0,0,0,0,0,0,0
"ENSMUSG00000089703",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100966",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100769",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101567",153,231,655,373,320,222,296,326,136,101,238,124
"ENSMUSG00000026245",193,252,338,368,360,283,377,275,264,195,284,283
"ENSMUSG00000101798",0,0,2,0,0,0,0,1,0,0,0,0
"ENSMUSG00000104018",0,2,2,2,5,1,1,0,3,0,1,0
"ENSMUSG00000090486",0,0,0,0,0,0,0,0,0,0,0,0
